-118.800012389727797,35.316670958848505,1878549,300339183,2009CAIRS14388237,NONFED,ST-CACDF,ST/C&L,USCAKRN,Kern County Fire Department,CAKRN,Kern County Fire Department,201543,091710,,,,,,,,2009,2009-06-13T00:00:00.000Z,164,1644,2,Equipment Use,,,,15,C,35.316666,-118.8,13,STATE OR PRIVATE,CA,,,
-119.731912726014031,37.149095080222764,1878550,300339184,2009CAIRS11251418,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,229975,001608,,HWY 41  / RD 207,,,,,,2009,2009-02-04T00:00:00.000Z,35,1121,9,Miscellaneous,2009-02-04T00:00:00.000Z,35,1156,0.5,B,37.14909,-119.7319,13,STATE OR PRIVATE,CA,,,
-119.793901721126105,37.010561062766051,1878551,300339185,2009CAIRS12200151,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,211849,009149,,ROLLING,,,,,,2009,2009-06-30T00:00:00.000Z,181,1518,13,Missing/Undefined,,,,0.1,A,37.010556,-119.793889,13,STATE OR PRIVATE,CA,,,
-120.908566896606089,36.992226983998002,1878552,300339186,2009CAIRS12185534,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,233905,008857,,I5  S/ CANYON RD,,,,,,2009,2009-06-25T00:00:00.000Z,176,2104,13,Missing/Undefined,2009-06-25T00:00:00.000Z,176,2136,4,B,36.992222,-120.908554,13,STATE OR PRIVATE,CA,,,
-121.253843248055276,39.479072172895044,1878553,300339187,2009CAIRS12756346,NONFED,ST-CACDF,ST/C&L,USCANEU,Nevada-Yuba-Placer Unit,CANEU,Nevada-Yuba-Placer Unit,214654,006387,,LA PORTE,,,,,,2009,2009-03-29T00:00:00.000Z,88,1141,13,Missing/Undefined,2009-03-29T00:00:00.000Z,88,1159,0.1,A,39.479067,-121.25383,13,STATE OR PRIVATE,CA,,,
-120.490223240718834,40.315952303125322,1878554,300339188,2009CAIRS12210247,NONFED,ST-CACDF,ST/C&L,USCALMU,Lassen-Modoc Unit,CALMU,Lassen-Modoc Unit,202143,002971,,NORVELL,,,,,,2009,2009-06-28T00:00:00.000Z,179,1030,5,Debris Burning,,,,0.1,A,40.315947,-120.49021,13,STATE OR PRIVATE,CA,,,
-122.098076181725204,37.902201978269858,1878555,300339190,2009CAIRS12319881,NONFED,ST-CACDF,ST/C&L,USCASCU,Santa Clara Unit,CASCU,Santa Clara Unit,193812,002644,,PLEASANT,,,,,,2009,2009-06-24T00:00:00.000Z,175,1144,13,Missing/Undefined,,,,0.25,A,37.902197,-122.098063,12,MUNICIPAL/LOCAL,CA,,,
-121.637743096898575,37.775231001196602,1878556,300339192,2009CAIRS11942389,NONFED,ST-CACDF,ST/C&L,USCASCU,Santa Clara Unit,CASCU,Santa Clara Unit,203626,001816,,CHRISTIANSEN,,,,,,2009,2009-04-29T00:00:00.000Z,119,1821,13,Missing/Undefined,,,,2,B,37.775226,-121.63773,13,STATE OR PRIVATE,CA,,,
-117.087414967653956,33.772244888874951,1878557,300339193,2009CAIRS12080962,NONFED,ST-CACDF,ST/C&L,USCARRU,Riverside Unit,CARRU,CDF - Riverside Unit,197871,044411,,REGENCY 2,,,,,,2009,2009-05-20T00:00:00.000Z,140,1451,2,Equipment Use,2009-05-20T00:00:00.000Z,140,1517,4,B,33.77224,-117.087403,13,STATE OR PRIVATE,CA,,,
-116.835258901464414,33.484336868952731,1878558,300339195,2009CAIRS12128808,NONFED,ST-CACDF,ST/C&L,USCARRU,Riverside Unit,CARRU,CDF - Riverside Unit,214374,048285,,WILSON,,,,,,2009,2009-06-02T00:00:00.000Z,153,0747,13,Missing/Undefined,,,,0.1,A,33.484332,-116.835247,13,STATE OR PRIVATE,CA,,,
